Context,Collocate,File,Directory,Year,Frequency Filter
"June 4, 1840. Tre principal facts recorded in the following memoir",recorded,rstl_1840_0025.txt,txt_rstl,1840,11
"memoir in con- nexion with facts recorded in my Jast, it",recorded,rstl_1840_0024.txt,txt_rstl,1840,11
the same means. 364. The facts above recorded will show that,recorded,rstl_1840_0024.txt,txt_rstl,1840,11
in the parent cell.” The facts recorded in the present memoir,recorded,rstl_1840_0024.txt,txt_rstl,1840,11
granules of the yelk. The facts recorded in the foregoing memoir,recorded,rstl_1841_0018.txt,txt_rstl,1841,11
produce such division. 97. But facts recorded in several of my,recorded,rstl_1841_0019.txt,txt_rstl,1841,11
"in- deed as with many facts recorded in this memoir, I",recorded,rstl_1842_0008.txt,txt_rstl,1842,11
interesting in con- nection with facts recorded in a former memoir,recorded,rstl_1842_0008.txt,txt_rstl,1842,11
"peared almost wanting. Should the facts recorded in this memoir, however,",recorded,rstl_1842_0008.txt,txt_rstl,1842,11
"Ross, or SmiTH, the leading facts recorded in it. To one",recorded,rstl_1842_0008.txt,txt_rstl,1842,11
of the enormous body of facts which appear to me to,appear,rstl_1840_0003.txt,txt_rstl,1840,11
61 and 62. 63. Such facts as these appear to warrant,appear,rstl_1841_0018.txt,txt_rstl,1841,11
the female are secreted in facts which appear to be analogous,appear,rstl_1841_0012.txt,txt_rstl,1841,11
of the embryo that the facts ascertained appear to be of,appear,rstl_1841_0012.txt,txt_rstl,1841,11
with the orifices. From these facts it would appear that the,appear,rstl_1843_0013.txt,txt_rstl,1843,11
could be lowered sufficiently. The facts just described appear to me,appear,rstl_1846_0004.txt,txt_rstl,1846,11
appear under similar conditions. The facts regularly diminish in size from,appear,rstl_1846_0024.txt,txt_rstl,1846,11
collections of Ganglia.—From the foregoing facts it will appear that a,appear,rstl_1846_0017.txt,txt_rstl,1846,11
play of forces. The following facts appear to me quite conclu-,appear,rstl_1846_0013.txt,txt_rstl,1846,11
appear very desirable that novel facts should be ascertained calcu- lated,appear,rstl_1846_0012.txt,txt_rstl,1846,11
the erystalline mineral matter. The facts above described appear to me,appear,rstl_1848_0012.txt,txt_rstl,1848,11
3. y.)}. 19. Should these facts be thought to confirm the,these,rstl_1840_0025.txt,txt_rstl,1840,11
in these early papers. Those facts I am now desirous of,these,rstl_1840_0014.txt,txt_rstl,1840,11
"eight, &c. cells.” But these facts strengthen the analogy pointed out",these,rstl_1840_0024.txt,txt_rstl,1840,11
of urea 6 Whether these facts have any connexion with the,these,rstl_1840_0002.txt,txt_rstl,1840,11
"resolved. Notwithstanding these differences, however, facts mentioned by authors regarding the",these,rstl_1841_0017.txt,txt_rstl,1841,11
"is not 80 much these facts to which I ask attention,",these,rstl_1841_0018.txt,txt_rstl,1841,11
61 and 62. 63. Such facts as these appear to warrant,these,rstl_1841_0018.txt,txt_rstl,1841,11
"fluid. The first, of these facts is situated in the seventh",these,rstl_1841_0012.txt,txt_rstl,1841,11
"apices of two of these facts meet, as represented at a,",these,rstl_1842_0014.txt,txt_rstl,1842,11
"from morning till night. These facts are perfectly normal*, and are",these,rstl_1842_0015.txt,txt_rstl,1842,11
itself (fig. 14. c). These facts seem further to show that,these,rstl_1843_0013.txt,txt_rstl,1843,11
with the orifices. From these facts it would appear that the,these,rstl_1843_0013.txt,txt_rstl,1843,11
divisions of Myriapoda. These additional facts fully accord with the already,these,rstl_1843_0013.txt,txt_rstl,1843,11
my observations were discontinued. These facts sufficiently show that a power,these,rstl_1844_0009.txt,txt_rstl,1844,11
"was every reason, with these facts before us, to expect that",these,rstl_1844_0003.txt,txt_rstl,1844,11
"of lead in Solution. These facts are well known, and prove",these,rstl_1844_0002.txt,txt_rstl,1844,11
"exclusion of the anion. These facts are, we believe, irreconcilable with",these,rstl_1844_0001.txt,txt_rstl,1844,11
"fix the attention. These are facts which, when the true physical",these,rstl_1844_0007.txt,txt_rstl,1844,11
