Year,Collocate,MI Score,Context,File,Directory
1665,of,3.18,the matter of Fact having been made,rstl_1665_0100.txt,txt_rstl
1673,of,3.06,"manifest Matters of Fact do bear evidence,",rstl_1673_0002.txt,txt_rstl
1673,of,3.06,"manifest Matters of Fact do bear evidence,",rstl_1673_0003.txt,txt_rstl
1673,of,3.06,recedent matters of fact surveyed aud compared,rstl_1673_0046.txt,txt_rstl
1675,matter,9.09,the matter of fact be true ;,rstl_1675_0037.txt,txt_rstl
1685,matter,9.3,trill matter of fact and experiment confirm,rstl_1685_0041.txt,txt_rstl
1686,matter,9.12,the matter of FaCt be- ing most,rstl_1686_0017.txt,txt_rstl
1694,matter,8.46,"the Matter of Fact out of Question,",rstl_1694_0041.txt,txt_rstl
1699,matter,8.46,'tis matter of Fact that they ©,rstl_1699_0040.txt,txt_rstl
1699,of,3.03,published of his Fact from a Letter,rstl_1699_0025.txt,txt_rstl
1699,of,3.03,'tis matter of Fact that they ©,rstl_1699_0040.txt,txt_rstl
1700,matter,8.77,"the matter Sf fact then, Z Mr",rstl_1700_0089.txt,txt_rstl
1702,of,3.1,the matter of fact was rue ;,rstl_1702_0052.txt,txt_rstl
1702,matter,8.63,the matter of fact was rue ;,rstl_1702_0052.txt,txt_rstl
1706,matter,8.77,the matter of fact to m2 seems,rstl_1706_0051.txt,txt_rstl
1706,of,3.27,the matter of fact to m2 seems,rstl_1706_0051.txt,txt_rstl
1708,matter,8.92,relace Matter of Fact as to the,rstl_1708_0062.txt,txt_rstl
1708,matter,8.92,Matter . of Fact : known (143),rstl_1708_0023.txt,txt_rstl
1708,matter,8.92,by matter of Fact ; which take,rstl_1708_0039.txt,txt_rstl
1708,of,3.2,by matter of Fact ; which take,rstl_1708_0039.txt,txt_rstl
1708,of,3.2,relace Matter of Fact as to the,rstl_1708_0062.txt,txt_rstl
1708,of,3.2,Matter . of Fact : known (143),rstl_1708_0023.txt,txt_rstl
1714,of,3.55,the Matters of Fact in the within,rstl_1714_0058.txt,txt_rstl
1714,matter,9.46,be matter of Fact ; and that,rstl_1714_0058.txt,txt_rstl
1714,of,3.55,be matter of Fact ; and that,rstl_1714_0058.txt,txt_rstl
1714,of,3.55,the Matters of Fact in the within,rstl_1714_0059.txt,txt_rstl
1767,this,3.2,heart. Another anatomical fact Proves this last,rstl_1767_0002.txt,txt_rstl
1767,this,3.2,and of this fact 1 am sure,rstl_1767_0042.txt,txt_rstl
1767,this,3.2,different climate. This fact at first certainly,rstl_1767_0005.txt,txt_rstl
1774,this,3.01,that denomination. This fact may. be brought,rstl_1774_0006.txt,txt_rstl
1783,that,3.0,"which corroborates” this fact is, that the",rstl_1783_0015.txt,txt_rstl
1787,this,3.29,how far this faCt is rare or,rstl_1787_0034.txt,txt_rstl
1790,this,3.1,truth of this fact I was. pers,rstl_1790_0026.txt,txt_rstl
1792,this,3.22,diameter ; this fact I have had,rstl_1792_0020.txt,txt_rstl
1792,this,3.22,"ascertain whether in fact this hemisphere, which,",rstl_1792_0020.txt,txt_rstl
1792,this,3.22,and this in fact was the breadth,rstl_1792_0020.txt,txt_rstl
1793,this,3.21,and this in fact was double the,rstl_1793_0011.txt,txt_rstl
1794,this,3.18,To determine this fact by a direct,rstl_1794_0013.txt,txt_rstl
1794,this,3.18,this is the fact has been well,rstl_1794_0018.txt,txt_rstl
1794,this,3.18,to question this fact would be to,rstl_1794_0018.txt,txt_rstl
1794,this,3.18,negatively. This remarkable fact fully satisfied me,rstl_1794_0022.txt,txt_rstl
1798,this,3.04,any had in fact been revived. This,rstl_1798_0021.txt,txt_rstl
1798,this,3.04,This is in fact two propositions ;,rstl_1798_0018.txt,txt_rstl
1798,this,3.04,application of this fact to practice is,rstl_1798_0004.txt,txt_rstl
1799,this,3.25,of death. This fact is almost all,rstl_1799_0002.txt,txt_rstl
1799,this,3.25,oaks. © This fact may lead to,rstl_1799_0016.txt,txt_rstl
1800,this,3.43,Can this extraordinary fact be explained by,rstl_1800_0012.txt,txt_rstl
1800,this,3.43,"238. $ This fact has been misrepresented,",rstl_1800_0012.txt,txt_rstl
1800,this,3.43,inguinal fasciculus.* This fact appeared at first,rstl_1800_0007.txt,txt_rstl
1800,this,3.43,external air. This fact was ascertained in,rstl_1800_0001.txt,txt_rstl
1800,this,3.43,mirabile: but this fact has not yet,rstl_1800_0007.txt,txt_rstl
1801,this,3.35,recognize the same fact in this case.,rstl_1801_0013.txt,txt_rstl
1802,this,3.38,silver. If this fact be compared with,rstl_1802_0008.txt,txt_rstl
1802,this,3.38,have observed this fact elsewhere. See his,rstl_1802_0012.txt,txt_rstl
1802,this,3.38,the metal. This fact seems to corroborate,rstl_1802_0012.txt,txt_rstl
1803,this,3.5,quality. Supposing this fact to be well,rstl_1803_0005.txt,txt_rstl
1804,this,3.44,acids. But this fact (considering that resin,rstl_1804_0011.txt,txt_rstl
1804,this,3.44,"neighbouring bodies, this fact might easily be",rstl_1804_0009.txt,txt_rstl
1804,this,3.44,sensible variation. This fact alone appears to,rstl_1804_0005.txt,txt_rstl
1805,this,3.57,"with soap, This fact is substantiated by",rstl_1805_0001.txt,txt_rstl
1805,this,3.57,crude platina. This fact was mentioned to,rstl_1805_0007.txt,txt_rstl
1805,this,3.57,of iron. This fact rests upon a,rstl_1805_0007.txt,txt_rstl
1805,this,3.57,nitric acid. In fact I found this,rstl_1805_0014.txt,txt_rstl
1806,this,3.73,"solid matter. This fact having been ascertained,",rstl_1806_0021.txt,txt_rstl
1806,this,3.73,to ascertain this fact satisfactorily. From all,rstl_1806_0020.txt,txt_rstl
1807,this,3.68,being separated. This fact affords a distinct,rstl_1807_0001.txt,txt_rstl
1807,this,3.68,of rest. This fact may in- duce,rstl_1807_0001.txt,txt_rstl
1808,this,3.64,discovery of this fact I consider to,rstl_1808_0003.txt,txt_rstl
1808,this,3.64,heavier ; this fact may be explained,rstl_1808_0023.txt,txt_rstl
1808,this,3.64,; but this fact cannot be considered,rstl_1808_0023.txt,txt_rstl
1809,this,3.48,fluid state. This fact was ascertained in,rstl_1809_0011.txt,txt_rstl
1809,this,3.48,that organ. This fact is con- trary,rstl_1809_0009.txt,txt_rstl
1809,this,3.48,the spectrum. This fact is a clear,rstl_1809_0019.txt,txt_rstl
1809,this,3.48,that this new fact induced him to,rstl_1809_0005.txt,txt_rstl
1809,this,3.48,"this is the fact of the blood,",rstl_1809_0021.txt,txt_rstl
1809,this,3.48,has impressed this fact more strongly on,rstl_1809_0026.txt,txt_rstl
1809,this,3.48,and by this fact 5 it is,rstl_1809_0019.txt,txt_rstl
1810,this,3.29,boiling water. This fact explains the ob-,rstl_1810_0006.txt,txt_rstl
1810,this,3.29,"upon grass. This fact being ascertained, is",rstl_1810_0011.txt,txt_rstl
1810,this,3.29,"for which this fact was very convenient,",rstl_1810_0017.txt,txt_rstl
1811,this,3.25,pale red. This fact seems in favour,rstl_1811_0001.txt,txt_rstl
1811,this,3.25,"thoracic duct, This fact I ascertained at",rstl_1811_0009.txt,txt_rstl
1811,this,3.25,this is the fact ; but before,rstl_1811_0001.txt,txt_rstl
1812,this,3.16,do not. This fact appears to be,rstl_1812_0023.txt,txt_rstl
1812,this,3.16,And this in fact I find to,rstl_1812_0010.txt,txt_rstl
1812,this,3.16,but which in fact was this little,rstl_1812_0007.txt,txt_rstl
1812,this,3.16,"the colour, This fact alone may be",rstl_1812_0006.txt,txt_rstl
1814,this,3.1,"oxygen. This new fact will, I hope,",rstl_1814_0007.txt,txt_rstl
1814,this,3.1,"which this curious fact must be ascribed,*",rstl_1814_0012.txt,txt_rstl
1814,curious,7.6,"which this curious fact must be ascribed,*",rstl_1814_0012.txt,txt_rstl
1815,this,3.16,other. This remarkable fact was proved by,rstl_1815_0011.txt,txt_rstl
1815,this,3.16,oxyiode; and this fact seemed to indi-,rstl_1815_0013.txt,txt_rstl
1815,this,3.16,of this singular fact will be understood,rstl_1815_0019.txt,txt_rstl
1815,curious,7.13,"explain the curious fact observed by MALvs,",rstl_1815_0019.txt,txt_rstl
1815,this,3.16,and we in fact by assuming this,rstl_1815_0024.txt,txt_rstl
1815,this,3.16,convex glasses. This fact I established by,rstl_1815_0020.txt,txt_rstl
1816,curious,7.26,"with the curious fact in magnetism, that",rstl_1816_0005.txt,txt_rstl
1818,that,3.01,"BERTHOLLET thinks this fact 80 unaccountable, that",rstl_1818_0020.txt,txt_rstl
1818,that,3.01,"ecliptic, the real fact is, that the",rstl_1818_0022.txt,txt_rstl
1818,curious,7.46,is a curious fact in the rupture,rstl_1818_0009.txt,txt_rstl
1820,this,3.03,"; and this fact alone, I think,",rstl_1820_0007.txt,txt_rstl
1820,this,3.03,this highly important fact I am led,rstl_1820_0005.txt,txt_rstl
1820,this,3.03,of alcohol. This fact is shown in,rstl_1820_0007.txt,txt_rstl
1820,curious,7.84,re- specting a fact s0 curious and,rstl_1820_0006.txt,txt_rstl
1820,new,5.29,quite a new fact in the history,rstl_1820_0007.txt,txt_rstl
1820,this,3.03,"the gun. This fact proves, either that",rstl_1820_0022.txt,txt_rstl
1822,this,3.05,laying this new fact before the Society,rstl_1822_0006.txt,txt_rstl
1822,this,3.05,"animal, but this fact was observed by",rstl_1822_0003.txt,txt_rstl
1823,that,3.12,"to produce. The fact however is, that",rstl_1823_0022.txt,txt_rstl
1824,that,3.09,the most extraordinary fact that has yet,rstl_1824_0011.txt,txt_rstl
1824,that,3.09,"E, From the fact that carbonic oxide,",rstl_1824_0018.txt,txt_rstl
1824,that,3.09,more advantageous in fact than that of,rstl_1824_0015.txt,txt_rstl
1824,that,3.09,is a remarkable fact that the swallow,rstl_1824_0005.txt,txt_rstl
1824,that,3.09,"a well known fact in magnetics, that",rstl_1824_0012.txt,txt_rstl
1825,that,3.08,show that the fact depends on no,rstl_1825_0023.txt,txt_rstl
1825,that,3.08,"increased, &c.” The fact is, that the",rstl_1825_0016.txt,txt_rstl
1826,that,3.06,of water. The fact indicates that the,rstl_1826_0015.txt,txt_rstl
1826,that,3.06,that the observed fact is not influenced,rstl_1826_0034.txt,txt_rstl
1826,that,3.06,It is a fact that zine and,rstl_1826_0031.txt,txt_rstl
1826,that,3.06,appears that the fact stated by M.,rstl_1826_0030.txt,txt_rstl
1826,that,3.06,supplied by the fact that many naked,rstl_1826_0029.txt,txt_rstl
1826,that,3.06,"It is a fact ascertained, that when",rstl_1826_0018.txt,txt_rstl
1826,that,3.06,that of this fact there cannot be,rstl_1826_0016.txt,txt_rstl
1827,that,3.2,"mine, was a fact that considerably sur-",rstl_1827_0017.txt,txt_rstl
1828,that,3.3,is a well-known fact that imperfect conductors,rstl_1828_0022.txt,txt_rstl
1828,that,3.3,clearly ascertained the fact that the effect,rstl_1828_0023.txt,txt_rstl
1829,that,3.23,"led to this fact by observing, that",rstl_1829_0027.txt,txt_rstl
1829,that,3.23,from the known fact that when z,rstl_1829_0019.txt,txt_rstl
1830,interesting,6.72,with the interesting fact lately announced ;—of,rstl_1830_0027.txt,txt_rstl
1830,that,3.31,think that a fact of such im-,rstl_1830_0025.txt,txt_rstl
1831,interesting,6.4,the following interesting fact ; viz. the,rstl_1831_0005.txt,txt_rstl
1832,that,3.46,is an interesting fact that the gastric,rstl_1832_0013.txt,txt_rstl
1832,that,3.46,remarkable was the fact that the water,rstl_1832_0014.txt,txt_rstl
1832,that,3.46,thus ascertained the fact that the influence,rstl_1832_0020.txt,txt_rstl
1832,that,3.46,that state. The fact of the fatal,rstl_1832_0017.txt,txt_rstl
1832,that,3.46,"metallic points, a fact which shows that",rstl_1832_0014.txt,txt_rstl
1832,that,3.46,"direction resulted; the fact being, that in",rstl_1832_0006.txt,txt_rstl
1832,that,3.46,or disproving the fact that the deciduous,rstl_1832_0004.txt,txt_rstl
1832,interesting,6.19,is an interesting fact that the gastric,rstl_1832_0013.txt,txt_rstl
1833,that,3.52,"that, except the fact that the matters",rstl_1833_0030.txt,txt_rstl
1833,that,3.52,remarkable that this fact should not have,rstl_1833_0032.txt,txt_rstl
1833,that,3.52,and that in fact there is hardly,rstl_1833_0021.txt,txt_rstl
1833,that,3.52,are not in fact stimulants to that,rstl_1833_0007.txt,txt_rstl
1833,that,3.52,pos8ess a single fact to prove that,rstl_1833_0007.txt,txt_rstl
