Context,Collocate,File,Directory,Year
"Another circumstance which corroborates” this fact is, that the {permaccti-whale, on",this,rstl_1783_0015.txt,txt_rstl,1783
"to judge, how far this faCt is rare or inte- sti",this,rstl_1787_0034.txt,txt_rstl,1787
Of the truth of this fact I was. pers suaded by,this,rstl_1790_0026.txt,txt_rstl,1790
much $horter diameter ; this fact I have had frequent opportunities,this,rstl_1792_0020.txt,txt_rstl,1792
"especially to ascertain whether in fact this hemisphere, which, as is",this,rstl_1792_0020.txt,txt_rstl,1792
seconds ; and this in fact was the breadth given it,this,rstl_1792_0020.txt,txt_rstl,1792
mountains; it is yet a fact that the breadth of this,this,rstl_1792_0020.txt,txt_rstl,1792
"Another circumstance which corroborates” this fact is, that the {permaccti-whale, on",that,rstl_1783_0015.txt,txt_rstl,1783
"inch. By which experiment- the fact seems to be eftablished, that",that,rstl_1785_0024.txt,txt_rstl,1785
"which moved, it was in fact Sntirely passive,, and that the",that,rstl_1785_0020.txt,txt_rstl,1785
"manometer.” I had ascertained that fact since the year 1776, by",that,rstl_1792_0025.txt,txt_rstl,1792
"of the whole. That remarkable fact will prove, that in the",that,rstl_1792_0025.txt,txt_rstl,1792
"to me, that if in fact there were a twilight on",that,rstl_1792_0020.txt,txt_rstl,1792
mountains; it is yet a fact that the breadth of this,that,rstl_1792_0020.txt,txt_rstl,1792
"principle of phlogiston, they in faCt lost nothing, but on the",in,rstl_1783_0023.txt,txt_rstl,1783
"which moved, it was in fact Sntirely passive,, and that the",in,rstl_1785_0020.txt,txt_rstl,1785
"of the whole. That remarkable fact will prove, that in the",in,rstl_1792_0025.txt,txt_rstl,1792
"its inferior conjunction, is in fact only the appa- rent, but",in,rstl_1792_0020.txt,txt_rstl,1792
"to me, that if in fact there were a twilight on",in,rstl_1792_0020.txt,txt_rstl,1792
"especially to ascertain whether in fact this hemisphere, which, as is",in,rstl_1792_0020.txt,txt_rstl,1792
seconds ; and this in fact was the breadth given it,in,rstl_1792_0020.txt,txt_rstl,1792
"in All the experiments. The fact is, when cast iron exposes",in,rstl_1792_0016.txt,txt_rstl,1792
"into the air, was in fact exposed to a colder medium,",in,rstl_1792_0014.txt,txt_rstl,1792
"organ-of smell can spout, a fact worthy of enquiry. - The",a,rstl_1787_0038.txt,txt_rstl,1787
"to me, that if in fact there were a twilight on",a,rstl_1792_0020.txt,txt_rstl,1792
the density of ours; a fact absolutely contradicted by all the,a,rstl_1792_0020.txt,txt_rstl,1792
mountains; it is yet a fact that the breadth of this,a,rstl_1792_0020.txt,txt_rstl,1792
"closed, and opened negative: a fact which has not happened for",a,rstl_1792_0015.txt,txt_rstl,1792
"stomach (the scrobiculus cordis), a fact which I think important :",a,rstl_1792_0014.txt,txt_rstl,1792
