Context,Collocate,File,Directory,Year,Frequency Filter
"baryta, and others, confirm the facts already stated ; viz. that",stated,rstl_1843_0003.txt,txt_rstl,1843,9
the urine alkaline; and from facts which have been stated to,stated,rstl_1845_0015.txt,txt_rstl,1845,9
easily accounted for by the facts already stated of irregular composition,stated,rstl_1845_0006.txt,txt_rstl,1845,9
"a sulphate, &c. : the facts stated are suffi- cient to",stated,rstl_1846_0012.txt,txt_rstl,1846,9
"a given point belonged. The facts that I have stated lead,",stated,rstl_1849_0021.txt,txt_rstl,1849,9
conelusions are deducible from the facts stated in the pre- ceding,stated,rstl_1849_0022.txt,txt_rstl,1849,9
which the accuracy of the facts stated in this paper are,stated,rstl_1850_0027.txt,txt_rstl,1850,9
"confirm, from European localities, the facts I have stated respecting the",stated,rstl_1850_0016.txt,txt_rstl,1850,9
"present chapter; but, as the facts have been Stated in part,",stated,rstl_1851_0002.txt,txt_rstl,1851,9
"present chapter; but, as the facts have been Stated in part,",stated,rstl_1851_0002.txt,txt_rstl,1851,9
with the orifices. From these facts it would appear that the,appear,rstl_1843_0013.txt,txt_rstl,1843,9
could be lowered sufficiently. The facts just described appear to me,appear,rstl_1846_0004.txt,txt_rstl,1846,9
collections of Ganglia.—From the foregoing facts it will appear that a,appear,rstl_1846_0017.txt,txt_rstl,1846,9
play of forces. The following facts appear to me quite conclu-,appear,rstl_1846_0013.txt,txt_rstl,1846,9
appear very desirable that novel facts should be ascertained calcu- lated,appear,rstl_1846_0012.txt,txt_rstl,1846,9
the erystalline mineral matter. The facts above described appear to me,appear,rstl_1848_0012.txt,txt_rstl,1848,9
he now proceeds to adduce facts which appear to him adequate,appear,rstl_1850_0037.txt,txt_rstl,1850,9
"at Toronto and Hobarton, the facts appear to be that the",appear,rstl_1851_0005.txt,txt_rstl,1851,9
a state of nature. 'These facts appear to give that direct,appear,rstl_1851_0011.txt,txt_rstl,1851,9
"from morning till night. These facts are perfectly normal*, and are",these,rstl_1842_0015.txt,txt_rstl,1842,9
itself (fig. 14. c). These facts seem further to show that,these,rstl_1843_0013.txt,txt_rstl,1843,9
with the orifices. From these facts it would appear that the,these,rstl_1843_0013.txt,txt_rstl,1843,9
divisions of Myriapoda. These additional facts fully accord with the already,these,rstl_1843_0013.txt,txt_rstl,1843,9
my observations were discontinued. These facts sufficiently show that a power,these,rstl_1844_0009.txt,txt_rstl,1844,9
"was every reason, with these facts before us, to expect that",these,rstl_1844_0003.txt,txt_rstl,1844,9
"of lead in Solution. These facts are well known, and prove",these,rstl_1844_0002.txt,txt_rstl,1844,9
"exclusion of the anion. These facts are, we believe, irreconcilable with",these,rstl_1844_0001.txt,txt_rstl,1844,9
"fix the attention. These are facts which, when the true physical",these,rstl_1844_0007.txt,txt_rstl,1844,9
From the sum of these facts I am again forced to,these,rstl_1845_0012.txt,txt_rstl,1845,9
"From the whole of these facts I was led to conclude,",these,rstl_1845_0013.txt,txt_rstl,1845,9
at a knowledge of these facts I have repeated and varied,these,rstl_1845_0013.txt,txt_rstl,1845,9
this moment in analysing these facts ; it is sufficient at,these,rstl_1845_0013.txt,txt_rstl,1845,9
our own country. 3rdly. These facts place in rather a new,these,rstl_1845_0007.txt,txt_rstl,1845,9
see the application of these facts to the vocal apparatus. We,these,rstl_1846_0028.txt,txt_rstl,1846,9
were expiratory. These were the facts ; | I could not,these,rstl_1846_0027.txt,txt_rstl,1846,9
"effusion rate. But, before these facts were ascertained this jet became",these,rstl_1846_0029.txt,txt_rstl,1846,9
to 089 inch. As the facts shown by these observations are,these,rstl_1846_0020.txt,txt_rstl,1846,9
vessels in the neighbourhood. These facts were demonstrated by preparations at,these,rstl_1846_0017.txt,txt_rstl,1846,9
"hyponitric acid, &. From these facts it appears that nitric acid",these,rstl_1846_0012.txt,txt_rstl,1846,9
"the entire organ, These same facts are verified also by including",these,rstl_1847_0014.txt,txt_rstl,1847,9
combination with that substance. These facts led me to suspect that,these,rstl_1848_0010.txt,txt_rstl,1848,9
combines these and many other facts respecting the tides into a,these,rstl_1848_0001.txt,txt_rstl,1848,9
pass through the tissue. These facts of course do away with,these,rstl_1849_0023.txt,txt_rstl,1849,9
"and teeth of Macropoma. These facts (if correctly interpreted, and T",these,rstl_1849_0023.txt,txt_rstl,1849,9
very desirable to test these facts by further experiments. (47.) The,these,rstl_1850_0035.txt,txt_rstl,1850,9
"less frequently performed*. With these facts before us, we can scarcely",these,rstl_1850_0037.txt,txt_rstl,1850,9
