Context,Collocate,File,Directory,Year
"be expected, owing to the fact that small but negligible traces",owing,rstb_1911_0003.txt,txt_rstb,1911
Leptosporangiate tracheids. Owing to the fact that all the sections are,owing,rstb_1911_0001.txt,txt_rstb,1911
"well shown, owing to the fact that the sections were stained",owing,rstb_1911_0006.txt,txt_rstb,1911
"additional uncertainty owing to the fact that, in calculating the S",owing,rsta_1911_0003.txt,txt_rsta,1911
is possibly owing to this fact that these measurements give values,owing,rsta_1911_0006.txt,txt_rsta,1911
"no doubt owing to this fact that ad,, instead of articulating",owing,rstb_1912_0007.txt,txt_rstb,1912
special weight owing to the fact that the thermometer and the,owing,rsta_1912_0005.txt,txt_rsta,1912
"some uncertainty, owing to the fact of many of them being",owing,rstb_1913_0002.txt,txt_rstb,1913
"I imagine, owing to the fact that the interest has been",owing,rstb_1913_0005.txt,txt_rstb,1913
"arises here, owing to the fact that in normal animals the",owing,rstb_1913_0007.txt,txt_rstb,1913
a second. Owing to the fact that the mercury in D,owing,rsta_1913_0007.txt,txt_rsta,1913
"a standard, owing to the fact that the lines D, and",owing,rsta_1913_0009.txt,txt_rsta,1913
"one another, owing to the fact that the processes are local",owing,rstb_1914_0002.txt,txt_rstb,1914
"previous one, owing to the fact that of course all those",owing,rstb_1914_0020.txt,txt_rstb,1914
was unnecessary owing to the fact that the two lines of,owing,rstb_1914_0020.txt,txt_rstb,1914
"(environmental) variation, owing to the fact that all those pairs of",owing,rstb_1914_0020.txt,txt_rstb,1914
"for Hyalopterus, owing to the fact that they have a curvature",owing,rstb_1914_0020.txt,txt_rstb,1914
"a Cladoceran, owing to the fact that the former grows continuously,",owing,rstb_1914_0020.txt,txt_rstb,1914
"the hybrids, owing to the fact that in any particular cross",owing,rstb_1914_0008.txt,txt_rstb,1914
"these experiments, owing to the fact that the water was drawn",owing,rsta_1914_0016.txt,txt_rsta,1914
additional interest owing to the fact that the air was under,owing,rsta_1914_0016.txt,txt_rsta,1914
1200° C. owing to the fact that the use of CALLENDAR’s,owing,rsta_1914_0023.txt,txt_rsta,1914
"observation, as due to the fact that owing to the use",owing,rsta_1914_0023.txt,txt_rsta,1914
0 * Owing to the fact that ~/p depends on the,owing,rsta_1915_0001.txt,txt_rsta,1915
"business, 3 owing to the fact that only one observation can",owing,rsta_1915_0011.txt,txt_rsta,1915
the atmosphere owing to the fact that the readings must be,owing,rstb_1916_0005.txt,txt_rstb,1916
"the model, owing to the fact that the extremely young procartilaginous",owing,rstb_1916_0010.txt,txt_rstb,1916
"of interest, owing to she fact that articulation is continuous between",owing,rstb_1916_0010.txt,txt_rstb,1916
Temperature Measurements. Owing to the fact that all gas measurements were,owing,rsta_1916_0008.txt,txt_rsta,1916
"sympodium appears, owing to the fact that this second flower follows",owing,rstb_1918_0005.txt,txt_rstb,1918
was discarded owing to the fact that iron is a plentiful,owing,rsta_1918_0011.txt,txt_rsta,1918
are left owing to the fact that the entries pease “,owing,rsta_1918_0008.txt,txt_rsta,1918
are left owing to the fact that the entries would be,owing,rsta_1918_0008.txt,txt_rsta,1918
"this case, owing to the fact that the central element in",owing,rsta_1918_0005.txt,txt_rsta,1918
"gases, but owing to the fact that there are three variables",owing,rsta_1918_0005.txt,txt_rsta,1918
